t=2023-06-20T22:19:18+0000 lvl=info msg="no configuration paths supplied"
t=2023-06-20T22:19:18+0000 lvl=info msg="using configuration at default config path" path=/home/flick/.config/ngrok/ngrok.yml
t=2023-06-20T22:19:18+0000 lvl=info msg="open config file" path=/home/flick/.config/ngrok/ngrok.yml err=nil
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=c017aa6ef446 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=f80858827c40 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=d8c56e45bafe l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=767f466921be l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=0a0cba223f6a l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=bb3ac270cca2 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=710021c46a74 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=7ba4d66f22fa l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=397fff86ea0e l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=05691f71870e l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=b04aff7da64b l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=1208d24445cd l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=85b62fff9ed5 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=18e0c5cb27eb l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=8a43a5fd54a8 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=34b4cf26a83b l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=d783814e1f1a l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=475528862f13 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=b83fca268080 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=052dd726ead5 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=fc3807c95494 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=ea379ac1b836 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=eafb539b958a l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=75c974791168 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=6db74eafe1b3 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=a095014ba13b l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=e8b779f42e36 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:24:36+0000 lvl=info msg="join connections" obj=join id=aa330490ee68 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:24:36+0000 lvl=info msg="join connections" obj=join id=1fbcd7f99990 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:24:36+0000 lvl=info msg="join connections" obj=join id=e761de04f2ce l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:24:36+0000 lvl=info msg="join connections" obj=join id=c3ef28027948 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:24:36+0000 lvl=info msg="join connections" obj=join id=b5eab8577a73 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:24:36+0000 lvl=info msg="join connections" obj=join id=32d4d3172634 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:24:47+0000 lvl=info msg="join connections" obj=join id=53407731e7d2 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:24:47+0000 lvl=info msg="join connections" obj=join id=a3736d84f000 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:24:47+0000 lvl=info msg="join connections" obj=join id=be8f5c5bc063 l=127.0.0.1:8080 r=185.15.38.11:11504
